typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","175","MYT","Mayotte (Overseas France)","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","29","false","-1","N/A",,"false","7","false",,"false",,"96","96","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","178","COG","Congo","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5043","false","-1","N/A",,"false","2101","false",,"false",,"293209","293209","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","191","HRV","Croatia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","875","false","-1","N/A",,"false","908","false",,"false",,"364711","364711","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","192","CUB","Cuba","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7","false","-1","N/A",,"false","5","false",,"false",,"270","270","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","196","CYP","Cyprus","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5624","false","-1","N/A",,"false","4621","false",,"false",,"2003094","2003094","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","40351","false","-1","N/A",,"false","16211","false",,"false",,"7283524","7283524","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","204","BEN","Benin","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","19659","false","-1","N/A",,"false","7137","false",,"false",,"123052","123052","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","208","DNK","Denmark","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13896","false","-1","N/A",,"false","10538","false",,"false",,"5516452","5516452","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","214","DOM","Dominican Rep.","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","623","false","-1","N/A",,"false","626","false",,"false",,"593921","593921","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","218","ECU","Ecuador","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","45","false","-1","N/A",,"false","90","false",,"false",,"17891","17891","0","true","false",
